Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Central neuroblastoma	100/1655	0.00133732500402169	0.0260846839521636	100	0.0604229607250755	CDA;GALNT14;SERPINE2;TNC;ENO1;CXCL13;IGHG3;TUBB3;CHEK1;EPHB2;IGFBP3;IGHV1-12;RUNX2;CCNE1;HPRT1;XPR1;PTGES;CDCA2;CRABP2;SHMT2;PRKDC;TGFA;THY1;PKMYT1;HIF1A;NLN;CCNB1;LDHA;IRAK1;SERPINH1;PMAIP1;NPTX2;HSPA5;UBE2C;TFPI2;PLK1;HMGA1;CDC6;MANF;TPX2;GCLC;DAP;SLC6A8;TCN1;CPD;CDK1;PAEP;CD24;EZH2;KDM5B;MCM7;FHL2;SIX1;FOXM1;UCHL1;MDK;MB;ENC1;MYBL2;DLGAP5;ABCC3;TPI1;PARP1;ITGA2;MYEOV;NME4;MMP9;NME1;MMP14;CEACAM5;MZB1;B3GNT3;BIRC5;RHOV;GAPDH;DTYMK;PCNA;PVT1;AURKB;AURKA;HSPD1;P2RY6;SPP1;E2F3;NQO1;EGLN3;MARCKSL1;CCL20;CDKN2A;SMOX;HSPE1;IL2RA;SMOC1;QPCT;SAA1;P4HB;RAMP1;CRLF1;CDKN3;NECTIN1
Chronic Lymphocytic Leukemia	72/1120	0.00135222720952091	0.0262856411646666	72	0.0642857142857143	IGHM;IGHV3-21;IGHV3-23;IGHV1-2;IGHV4-34;SLC2A1;IGHV4-39;CXCL13;FOXM1;MKI67;IGHG3;IGHG1;CDH1;HIST1H2AE;MYBL2;EPHB2;DSP;ABCC3;GPR37;PARP1;TNFRSF18;MYEOV;IGHV1-12;MMP9;SFRP4;SFRP2;IGHJ3;EEF1A2;MZB1;BIRC5;HOXB7;PCNA;IGHV1-69;HMMR;HIF1A;EFNA4;AURKA;HSPD1;CD79A;ADAM28;NT5E;IRAK1;IGKV1-39;IGLV3-21;EIF4EBP1;TNFRSF17;RAD54L;PMAIP1;PRAME;IGHD3-3;CCL19;NQO1;MARCKSL1;STIL;IGHV5-78;HSPA5;BIK;CDKN2A;IGKV1-5;IGLL5;BCL9;RAD51;FAP;POU2AF1;IL2RA;QPCT;FAT1;PAEP;CD27;TRIP13;IGKV3-20;CDKN3
Carcinoma, Papillary	19/196	0.00136675136979801	0.0264779121301547	19	0.0969387755102041	GPI;CDKN2A;ITGB4;PLK1;SLC2A1;TGFA;HIF1A;RUNX2;CKAP4;CLDN4;FUT8;CLDN3;KRT17;EPCAM;CDH1;MDK;SFN;GAPDH;MAD2L1
Adenocarcinoma of pancreas	29/354	0.00139601845673434	0.0269535320278268	29	0.0819209039548023	HMMR;HIF1A;ALDH1B1;PLAU;SPP1;EPHB2;MUC4;NQO1;SPINK1;MMP7;RRM2;CDKN2A;SLC52A2;PLK1;TFPI2;HMGA1;MMP9;TPX2;CEACAM1;AKR1B10;PKM;RAD51;CEACAM5;IL2RA;LCN2;F2RL1;HOXB7;GAPDH;EZH2
Adenocarcinoma, Tubular	14/125	0.00146652595771792	0.0282195146409358	14	0.112	SPINK1;PCNA;CDKN2A;PVT1;KRT8;ENO1;MKI67;HSPD1;MMP11;CEACAM1;MMP14;PLAU;SPP1;BIRC5
Kaposi Sarcoma	27/323	0.00150102085286908	0.028387889064698	27	0.0835913312693498	PCNA;MKI67;TYMS;HIF1A;UCHL1;IRAK1;PCLAF;SERPINH1;EIF4EBP1;EPHB2;BUB1;MARCKSL1;MMP7;CDKN2A;CCL20;TESC;H2AFX;NME1;MMP14;MMP13;KRT15;POU2AF1;MZB1;CDK1;ANGPTL4;EZH2;CDKN3
Infant, Small for Gestational Age	24/275	0.00151135999406513	0.028387889064698	24	0.0872727272727273	TFAP2A;CDT1;RNASEH2A;UQCC2;CKAP2L;GMNN;CDCA7;KIF14;DONSON;PYCR1;BUB1B;CDC6;RECQL4;ORC6;CDC45;ORC1;DKC1;PSAT1;SFXN4;MCM4;ALDH18A1;P4HB;XPR1;STRA6
Malignant neoplasm of skin	26/307	0.00151312456017436	0.028387889064698	26	0.0846905537459283	KDM5B;PCNA;FOXM1;THBS2;HIF1A;AURKA;PAK1;EPHB2;NQO1;CDKN2A;MMP1;MMP9;AGT;CKAP4;COL1A1;MMP12;FERMT1;GJB2;MMP14;VCAN;PKM;KRT17;ADAM12;IVL;EZH2;CDKN3
Neoplasm Invasiveness	18/183	0.00153310551597325	0.028387889064698	18	0.0983606557377049	MMP1;CDKN2A;ENO1;HIF1A;MMP9;LOXL2;NME1;TBX15;MMP14;AKR1B10;PKM;CDH1;PLAU;CALU;TIMP1;ANGPTL4;CD24;ALDOA
Skin Erosion	13/112	0.00154371964033089	0.028387889064698	13	0.116071428571429	DSP;EGLN3;NAXE;ITGB4;MMP1;CDKN2A;ITGA2;H2AFX;CXCL13;COMP;MMP13;CTSK;TIMP1
